Cell Line;Collection Date;Created By Name;Experiment #;Freezerworks ID;Globally Unique Sample ID;Lab Member;Notes;Number of Aliquots Total;Number of Aliquots with Positions;Passage Number;Result;Sample Creation Date;Sample Creation Time;Sample Modification Date;Sample Modification Time;Sample Modified By;Sample Type;Source;Subject ID;Total Current Amount;Aliquot Modification Date;Aliquot Modification Time;Aliquot Modified By;Aliquot Notes;Aliquot Number;Aliquot Type;Aliquot/SubA Passage#;Aliquots Creation Date;Current Amount;Disposition;Freezer Alias;Freezer Name;Freezer Section;Globally Unique Aliquot ID;Initial Amount;Lab Member (sub-aliquots);Parent Aliquot ID;Position 1;Position 2;Position 3;Position 4;Position 5;Thaws;Unique Aliquot ID;Transaction Activity;Transaction Creation Date;Transaction Date;Transaction Notes;Transaction Time;Transaction User Name;Sample Notes
HT1080-A11-WNT3A;10/6/2017;drao;;100079;SQZ100079;;;15;8;6;;1/3/2018;11:38:50;;;;;Sikora Lab;;0;3/18/2019;14:59:24;;Frozen back from previous thaw on 1-18-19. Thawed by DMR on 2-11-19.;15;Cells;8;1/28/2019;;Used;;;;SQZ100759A;;DMR;100399;;;;;;0;100759;;;;;;;For publication (Rao et al, 2018), these cells are reffered to as PKO (PORCN knock-out). We recieved two cell lines from the Virshup lab that have PORCN knocked out, A11 and C10. A11 were used as they had the least amount of autonomous WNT activity (as measured by DVL2/3).
HT1080-A11+WNT4;10/6/2017;drao;;100080;SQZ100080;;;13;6;6;;1/3/2018;11:39:57;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back from a previous thaw on 1-18-19.;11;Cells;8;1/28/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100760A;;DMR;100401;1;E;2;7;;0;100760;;;;;;;For publication (Rao et al, 2018), these cells are reffered to as PKO (PORCN knock-out). We recieved two cell lines from the Virshup lab that have PORCN knocked out, A11 and C10. A11 were used as they had the least amount of autonomous WNT activity (as measured by DVL2/3).
HT1080-A11+WNT4;10/6/2017;drao;;100080;SQZ100080;;;13;6;6;;1/3/2018;11:39:57;;;;;Sikora Lab;;0;6/21/2019;12:53:34;;Frozen back from a previous thaw on 1-18-19. Checked out by DMR on 6-21-19.;12;Cells;8;1/28/2019;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100761A;;DMR;100401;1;E;2;8;;0;100761;;;;;;;For publication (Rao et al, 2018), these cells are reffered to as PKO (PORCN knock-out). We recieved two cell lines from the Virshup lab that have PORCN knocked out, A11 and C10. A11 were used as they had the least amount of autonomous WNT activity (as measured by DVL2/3).
HT1080-A11+WNT4;10/6/2017;drao;;100080;SQZ100080;;;13;6;6;;1/3/2018;11:39:57;;;;;Sikora Lab;;0;3/18/2019;14:59:39;;Frozen back from a previous thaw on 1-18-19. Thawed by DMR on 2-11-19.;13;Cells;8;1/28/2019;;Used;;;;SQZ100762A;;DMR;100401;;;;;;0;100762;;;;;;;For publication (Rao et al, 2018), these cells are reffered to as PKO (PORCN knock-out). We recieved two cell lines from the Virshup lab that have PORCN knocked out, A11 and C10. A11 were used as they had the least amount of autonomous WNT activity (as measured by DVL2/3).
HT1080-WT:WNT3A-Myc;10/25/2018;drao;LW-002-D;100108;SQZ100108;;;14;12;2;;10/31/2018;13:28:38;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back from a previous thaw on 1-18-19.;12;Cells;8;1/28/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100763A;;DMR;100711;1;E;3;1;;0;100763;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT3A from the pLX304 plasmid.
HT1080-WT:WNT3A-Myc;10/25/2018;drao;LW-002-D;100108;SQZ100108;;;14;12;2;;10/31/2018;13:28:38;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back from a previous thaw on 1-18-19.;13;Cells;8;1/28/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100764A;;DMR;100711;1;E;3;2;;0;100764;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT3A from the pLX304 plasmid.
HT1080-WT:WNT3A-Myc;10/25/2018;drao;LW-002-D;100108;SQZ100108;;;14;12;2;;10/31/2018;13:28:38;;;;;Sikora Lab;;0;3/18/2019;07:24:54;;Frozen back from a previous thaw on 1-18-19. Thawed by DMR on 2-11-19.;14;Cells;8;1/28/2019;;Used;;;;SQZ100765A;;DMR;100711;;;;;;0;100765;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT3A from the pLX304 plasmid.
HT1080-WT:WNT4-Myc;10/25/2018;drao;LW-002-D;100109;SQZ100109;;;14;12;2;;10/31/2018;14:31:02;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back from a previous thaw on 1-18-19.;12;Cells;8;1/28/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100766A;;DMR;100718;1;E;3;4;;0;100766;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT4 from the pLX304 plasmid.
HT1080-WT:WNT4-Myc;10/25/2018;drao;LW-002-D;100109;SQZ100109;;;14;12;2;;10/31/2018;14:31:02;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back from a previous thaw on 1-18-19.;13;Cells;8;1/28/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100767A;;DMR;100718;1;E;3;5;;0;100767;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT4 from the pLX304 plasmid.
HT1080-WT:WNT4-Myc;10/25/2018;drao;LW-002-D;100109;SQZ100109;;;14;12;2;;10/31/2018;14:31:02;;;;;Sikora Lab;;0;3/18/2019;07:25:12;;Frozen back from a previous thaw on 1-18-19. Thawed by DMR on 2-11-19.;14;Cells;8;1/28/2019;;Used;;;;SQZ100768A;;DMR;100718;;;;;;0;100768;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT4 from the pLX304 plasmid.
HT1080-A11:WNT3A-Myc;10/25/2018;drao;LW-002-D;100110;SQZ100110;;;14;12;2;;10/31/2018;14:47:13;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back from previous thaw on 1-18-19.;12;Cells;8;1/28/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100769A;;DMR;100722;1;E;3;7;;0;100769;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT3A from the pLX304 plasmid.
HT1080-A11:WNT3A-Myc;10/25/2018;drao;LW-002-D;100110;SQZ100110;;;14;12;2;;10/31/2018;14:47:13;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back from previous thaw on 1-18-19.;13;Cells;8;1/28/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100770A;;DMR;100722;1;E;3;8;;0;100770;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT3A from the pLX304 plasmid.
HT1080-A11:WNT3A-Myc;10/25/2018;drao;LW-002-D;100110;SQZ100110;;;14;12;2;;10/31/2018;14:47:13;;;;;Sikora Lab;;0;3/18/2019;07:25:29;;Frozen back from previous thaw on 1-18-19. Thawed by DMR on 2-11-19.;14;Cells;8;1/28/2019;;Used;;;;SQZ100771A;;DMR;100722;;;;;;0;100771;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT3A from the pLX304 plasmid.
HT1080-A11:WNT4-Myc;10/25/2018;drao;LW-002-D;100111;SQZ100111;;;14;12;2;;10/31/2018;14:48:43;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back from a previous thaw on 1-18-19.;12;Cells;8;1/28/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100772A;;DMR;100726;1;E;4;1;;0;100772;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT4 from the pLX304 plasmid.
HT1080-A11:WNT4-Myc;10/25/2018;drao;LW-002-D;100111;SQZ100111;;;14;12;2;;10/31/2018;14:48:43;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back from a previous thaw on 1-18-19.;13;Cells;8;1/28/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100773A;;DMR;100726;1;E;4;2;;0;100773;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT4 from the pLX304 plasmid.
HT1080-A11:WNT4-Myc;10/25/2018;drao;LW-002-D;100111;SQZ100111;;;14;12;2;;10/31/2018;14:48:43;;;;;Sikora Lab;;0;3/18/2019;07:25:50;;Frozen back from a previous thaw on 1-18-19. Thawed by DMR on 2-11-19.;14;Cells;8;1/28/2019;;Used;;;;SQZ100774A;;DMR;100726;;;;;;0;100774;;;;;;;These constructs were made by LW in the Sikora Lab. The original HT1080 cell lines were obatined from the Virshup Lab. These lines overexpress c-terminally Myc-tagged WNT4 from the pLX304 plasmid.
HC1018 PDX;9/11/2018;drao;;100114;SQZ100114;;;1;1;3.C1.M2;;2/20/2019;11:03:08;;;;;Matt Strutz (HCI);;0;00/00/00;00:00:00;;Recived from Matt Strutz on 2/20/19. The material is listed as "viable chunks".;1;PDX chunk;P3.C1.M2;2/20/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100775A;;DMR;0;4;J;9;9;;0;100775;;;;;;;Patient Derived Xenograft (PDX) "viable chunks". P3.C1.M2. #008. 9/11/2018. D5-787. Obtained from Matthew Strutz at the Huntsman Cancer Institute at the University of Utah.
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;14;Cells;38;3/21/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100777A;;EKB;0;1;F;2;3;;0;100777;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;15;Cells;38;3/21/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100778A;;EKB;0;1;F;2;4;;0;100778;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;16;Cells;38;3/21/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100779A;;EKB;0;1;F;2;5;;0;100779;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;17;Cells;38;3/21/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100780A;;EKB;0;1;F;2;6;;0;100780;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;18;Cells;38;3/21/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100781A;;EKB;0;1;F;2;7;;0;100781;;;;;;;Continuous maintenance from p+33 (FWID 100000)
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;4/9/2019;15:49:35;;Frozen back by EKB.;13;Cells;78;3/21/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100782A;;EKB;0;4;F;9;1;;0;100782;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;4/9/2019;15:49:12;;Frozen back by EKB.;14;Cells;78;3/21/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100783A;;EKB;0;4;F;9;2;;0;100783;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by EKB on 4-4-19.;15;Cells;79;4/9/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100784A;;EKB;100076;4;F;9;3;;0;100784;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;9/4/2019;12:07:30;;Frozen back by EKB on 04.04.19 Thawed by EKB on 09.04.19;21;Cells;40;4/9/2019;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100790A;;EKB;100063;1;F;3;9;;0;100790;;;;;;;Continuous maintenance from p+33 (FWID 100000)
