Cell Line;Collection Date;Created By Name;Experiment #;Freezerworks ID;Globally Unique Sample ID;Lab Member;Notes;Number of Aliquots Total;Number of Aliquots with Positions;Passage Number;Result;Sample Creation Date;Sample Creation Time;Sample Modification Date;Sample Modification Time;Sample Modified By;Sample Type;Source;Subject ID;Total Current Amount;Aliquot Modification Date;Aliquot Modification Time;Aliquot Modified By;Aliquot Notes;Aliquot Number;Aliquot Type;Aliquot/SubA Passage#;Aliquots Creation Date;Current Amount;Disposition;Freezer Alias;Freezer Name;Freezer Section;Globally Unique Aliquot ID;Initial Amount;Lab Member (sub-aliquots);Parent Aliquot ID;Position 1;Position 2;Position 3;Position 4;Position 5;Thaws;Unique Aliquot ID;Transaction Activity;Transaction Creation Date;Transaction Date;Transaction Notes;Transaction Time;Transaction User Name;Sample Notes
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;9/4/2019;11:59:29;;Thawed by MTS on 09.04.19;1;Cells;p+33;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100000A;;MTS;0;4;F;1;1;;0;100000;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;11/5/2019;12:27:36;;11-5-19 MTS Checked out;2;Cells;p+33;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100001A;;MTS;0;4;F;1;2;;0;100001;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;3;Cells;p+33;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100002A;;;0;4;F;1;3;;0;100002;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;4;Cells;p+33;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100003A;;;0;4;F;1;4;;0;100003;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;5;Cells;p+33;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100004A;;;0;4;F;1;5;;0;100004;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;6;Cells;p+33;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100005A;;;0;4;F;1;6;;0;100005;;;;;;;Legacy MM134 from Oesterreich Lab banks
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100006A;;;0;4;F;1;7;;0;100006;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;9/3/2019;14:04:21;;Checked out by EKB on 09/03/19;2;Cells;pX13;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100007A;;EKB;0;4;F;1;8;;0;100007;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;1/17/2019;16:27:58;;Checked out by EKB on 11.28.18;3;Cells;pX13;3/28/2017;;Used;;;;SQZ100008A;;EKB;0;;;;;;0;100008;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;1/20/2022;10:32:44;;;4;Cells;pX13;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100009A;;JS;0;4;F;2;1;;0;100009;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;6/8/2023;17:11:11;;Checked out 6.8.23 MTS;5;Cells;pX13;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100010A;;MTS;0;4;F;2;2;;0;100010;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;6;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100011A;;;0;4;F;2;3;;0;100011;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;7;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100012A;;;0;4;F;2;4;;0;100012;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;8;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100013A;;;0;4;F;2;5;;0;100013;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;9;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100014A;;;0;4;F;2;6;;0;100014;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100015A;;;0;4;F;2;7;;0;100015;;;;;;;From early passage frozen vials from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;2;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100016A;;;0;4;F;2;8;;0;100016;;;;;;;From early passage frozen vials from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;3;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100017A;;;0;4;F;2;9;;0;100017;;;;;;;From early passage frozen vials from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;4;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100018A;;;0;4;F;3;1;;0;100018;;;;;;;From early passage frozen vials from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;5;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100019A;;;0;4;F;3;2;;0;100019;;;;;;;From early passage frozen vials from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;6;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100020A;;;0;4;F;3;3;;0;100020;;;;;;;From early passage frozen vials from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;7;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100021A;;;0;4;F;3;4;;0;100021;;;;;;;From early passage frozen vials from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;8;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100022A;;;0;4;F;3;5;;0;100022;;;;;;;From early passage frozen vials from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;5/31/2018;11:13:32;;;9;Cells;pX20;3/28/2017;;Used;;;;SQZ100023A;;Matt;0;;;;;;0;100023;;;;;;;From early passage frozen vials from SO Lab
134:L/B;2/8/2017;admin;MJS_0049;100003;ZZZ100036;Matt Sikora;;5;5;pX47;;2/9/2017;16:07:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100024A;;;0;4;F;3;7;;0;100024;;;;;;;From viable cultures shipped from SO Lab
134:L/B;2/8/2017;admin;MJS_0049;100003;ZZZ100036;Matt Sikora;;5;5;pX47;;2/9/2017;16:07:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;2;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100025A;;;0;4;F;3;8;;0;100025;;;;;;;From viable cultures shipped from SO Lab
134:L/B;2/8/2017;admin;MJS_0049;100003;ZZZ100036;Matt Sikora;;5;5;pX47;;2/9/2017;16:07:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;3;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100026A;;;0;4;F;3;9;;0;100026;;;;;;;From viable cultures shipped from SO Lab
134:L/B;2/8/2017;admin;MJS_0049;100003;ZZZ100036;Matt Sikora;;5;5;pX47;;2/9/2017;16:07:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;4;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100027A;;;0;4;F;4;1;;0;100027;;;;;;;From viable cultures shipped from SO Lab
134:L/B;2/8/2017;admin;MJS_0049;100003;ZZZ100036;Matt Sikora;;5;5;pX47;;2/9/2017;16:07:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;5;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100028A;;;0;4;F;4;2;;0;100028;;;;;;;From viable cultures shipped from SO Lab
134:L/E;2/8/2017;admin;MJS_0049;100004;ZZZ100037;Matt Sikora;;5;4;pX50;;2/9/2017;16:07:57;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX50;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100029A;;;0;4;F;4;3;;0;100029;;;;;;;From viable cultures shipped from SO lab
134:L/E;2/8/2017;admin;MJS_0049;100004;ZZZ100037;Matt Sikora;;5;4;pX50;;2/9/2017;16:07:57;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;2;Cells;pX50;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100030A;;;0;4;F;4;4;;0;100030;;;;;;;From viable cultures shipped from SO lab
134:L/E;2/8/2017;admin;MJS_0049;100004;ZZZ100037;Matt Sikora;;5;4;pX50;;2/9/2017;16:07:57;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;3;Cells;pX50;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100031A;;;0;4;F;4;5;;0;100031;;;;;;;From viable cultures shipped from SO lab
134:L/E;2/8/2017;admin;MJS_0049;100004;ZZZ100037;Matt Sikora;;5;4;pX50;;2/9/2017;16:07:57;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;4;Cells;pX50;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100032A;;;0;4;F;4;6;;0;100032;;;;;;;From viable cultures shipped from SO lab
134:L/E;2/8/2017;admin;MJS_0049;100004;ZZZ100037;Matt Sikora;;5;4;pX50;;2/9/2017;16:07:57;;;;;UPMC/MJS;;0;4/30/2019;10:21:46;;Shipped to Beth Knapick/Jennifer Xavier on 4/30/19 by DMR.;5;Cells;pX50;3/28/2017;;Used;;;;SQZ100033A;;DMR;0;;;;;;0;100033;;;;;;;From viable cultures shipped from SO lab
44:L/A;2/8/2017;admin;MJS_0049;100005;ZZZ100038;Matt Sikora;;5;3;pX55;;2/9/2017;16:08:35;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX55;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100034A;;;0;4;F;4;8;;0;100034;;;;;;;From viable cultures shipped from SO Lab
44:L/A;2/8/2017;admin;MJS_0049;100005;ZZZ100038;Matt Sikora;;5;3;pX55;;2/9/2017;16:08:35;;;;;UPMC/MJS;;0;6/8/2023;17:12:10;;Checked out 6.8.23 MTS;2;Cells;pX55;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100035A;;MTS;0;4;F;4;9;;0;100035;;;;;;;From viable cultures shipped from SO Lab
44:L/A;2/8/2017;admin;MJS_0049;100005;ZZZ100038;Matt Sikora;;5;3;pX55;;2/9/2017;16:08:35;;;;;UPMC/MJS;;0;9/3/2019;14:08:10;;Thawed by EKB on 09/03/19;3;Cells;pX55;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100036A;;MJS;0;4;F;5;1;;0;100036;;;;;;;From viable cultures shipped from SO Lab
44:L/A;2/8/2017;admin;MJS_0049;100005;ZZZ100038;Matt Sikora;;5;3;pX55;;2/9/2017;16:08:35;;;;;UPMC/MJS;;0;4/30/2019;10:22:59;;Shipped to Beth Knapick/Jennifer Xavier on 4/30/19 by DMR.;4;Cells;pX55;3/28/2017;;Used;;;;SQZ100037A;;DMR;0;;;;;;0;100037;;;;;;;From viable cultures shipped from SO Lab
44:L/A;2/8/2017;admin;MJS_0049;100005;ZZZ100038;Matt Sikora;;5;3;pX55;;2/9/2017;16:08:35;;;;;UPMC/MJS;;0;3/2/2018;16:12:34;;;5;Cells;pX55;3/28/2017;;Used;;;;SQZ100038A;;Matt;0;;;;;;0;100038;;;;;;;From viable cultures shipped from SO Lab
44:L/B;2/8/2017;admin;MJS_0049;100006;ZZZ100039;Matt Sikora;;5;3;pX60;;2/9/2017;16:09:10;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX60;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100039A;;;0;4;F;5;4;;0;100039;;;;;;;From viable cultures shipped from SO Lab
44:L/B;2/8/2017;admin;MJS_0049;100006;ZZZ100039;Matt Sikora;;5;3;pX60;;2/9/2017;16:09:10;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;2;Cells;pX60;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100040A;;;0;4;F;5;5;;0;100040;;;;;;;From viable cultures shipped from SO Lab
44:L/B;2/8/2017;admin;MJS_0049;100006;ZZZ100039;Matt Sikora;;5;3;pX60;;2/9/2017;16:09:10;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;3;Cells;pX60;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100041A;;;0;4;F;5;6;;0;100041;;;;;;;From viable cultures shipped from SO Lab
44:L/B;2/8/2017;admin;MJS_0049;100006;ZZZ100039;Matt Sikora;;5;3;pX60;;2/9/2017;16:09:10;;;;;UPMC/MJS;;0;4/30/2019;10:24:05;;Shipped to Beth Knapick/Jennifer Xavier on 4/30/19 by DMR.;4;Cells;pX60;3/28/2017;;Used;;;;SQZ100042A;;DMR;0;;;;;;0;100042;;;;;;;From viable cultures shipped from SO Lab
44:L/B;2/8/2017;admin;MJS_0049;100006;ZZZ100039;Matt Sikora;;5;3;pX60;;2/9/2017;16:09:10;;;;;UPMC/MJS;;0;1/17/2019;16:29:05;;Checked out by EKB on 11.28.18;5;Cells;pX60;3/28/2017;;Used;;;;SQZ100043A;;EKB;0;;;;;;0;100043;;;;;;;From viable cultures shipped from SO Lab
44:L/A;2/9/2017;admin;MJS_0049;100007;ZZZ100040;Matt Sikora;;3;1;pX7;;2/12/2017;14:39:31;;;;;UPMC/MJS;;0;1/17/2019;16:28:26;;Checked out bu EKB on 11.28.18;1;Cells;pX7;3/28/2017;;Used;;;;SQZ100044A;;EKB;0;;;;;;0;100044;;;;;;;From early passage frozen vials; viability concerns.
44:L/A;2/9/2017;admin;MJS_0049;100007;ZZZ100040;Matt Sikora;;3;1;pX7;;2/12/2017;14:39:31;;;;;UPMC/MJS;;0;1/20/2022;10:33:15;;;2;Cells;pX7;3/28/2017;;Checked Out;;;;SQZ100045A;;JS;0;;;;;;0;100045;;;;;;;From early passage frozen vials; viability concerns.
44:L/A;2/9/2017;admin;MJS_0049;100007;ZZZ100040;Matt Sikora;;3;1;pX7;;2/12/2017;14:39:31;;;;;UPMC/MJS;;0;3/21/2022;09:37:10;;;3;Cells;pX7;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100046A;;Joe Sottnik;0;4;F;6;2;;0;100046;;;;;;;From early passage frozen vials; viability concerns.
44:L/B;2/9/2017;admin;MJS_0049;100008;ZZZ100041;Matt Sikora;;4;4;pX7;;2/12/2017;14:40:01;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX7;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100047A;;;0;4;F;6;3;;0;100047;;;;;;;From early passage frozen vials; viability concerns.
44:L/B;2/9/2017;admin;MJS_0049;100008;ZZZ100041;Matt Sikora;;4;4;pX7;;2/12/2017;14:40:01;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;2;Cells;pX7;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100048A;;;0;4;F;6;4;;0;100048;;;;;;;From early passage frozen vials; viability concerns.
44:L/B;2/9/2017;admin;MJS_0049;100008;ZZZ100041;Matt Sikora;;4;4;pX7;;2/12/2017;14:40:01;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;3;Cells;pX7;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100049A;;;0;4;F;6;5;;0;100049;;;;;;;From early passage frozen vials; viability concerns.
44:L/B;2/9/2017;admin;MJS_0049;100008;ZZZ100041;Matt Sikora;;4;4;pX7;;2/12/2017;14:40:01;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;4;Cells;pX7;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100050A;;;0;4;F;6;6;;0;100050;;;;;;;From early passage frozen vials; viability concerns.
134:L/A;2/12/2017;admin;MJS_0049;100009;ZZZ100042;Matt Sikora;;5;4;pX45;;2/13/2017;09:11:57;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX45;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100051A;;;0;4;F;6;7;;0;100051;;;;;;;From viable cultures shipped from SO Lab
134:L/A;2/12/2017;admin;MJS_0049;100009;ZZZ100042;Matt Sikora;;5;4;pX45;;2/13/2017;09:11:57;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;2;Cells;pX45;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100052A;;;0;4;F;6;8;;0;100052;;;;;;;From viable cultures shipped from SO Lab
134:L/A;2/12/2017;admin;MJS_0049;100009;ZZZ100042;Matt Sikora;;5;4;pX45;;2/13/2017;09:11:57;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;3;Cells;pX45;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100053A;;;0;4;F;6;9;;0;100053;;;;;;;From viable cultures shipped from SO Lab
134:L/A;2/12/2017;admin;MJS_0049;100009;ZZZ100042;Matt Sikora;;5;4;pX45;;2/13/2017;09:11:57;;;;;UPMC/MJS;;0;1/17/2019;16:29:36;;Checked out by EKB on 11.28.18;4;Cells;pX45;3/28/2017;;Used;;;;SQZ100054A;;EKB;0;;;;;;0;100054;;;;;;;From viable cultures shipped from SO Lab
134:L/A;2/12/2017;admin;MJS_0049;100009;ZZZ100042;Matt Sikora;;5;4;pX45;;2/13/2017;09:11:57;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;5;Cells;pX45;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100055A;;;0;4;F;7;2;;0;100055;;;;;;;From viable cultures shipped from SO Lab
134:L/D;2/12/2017;admin;MJS_0049;100010;ZZZ100043;Matt Sikora;;5;5;pX47;;2/13/2017;09:12:32;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100056A;;;0;4;F;7;3;;0;100056;;;;;;;From viable cultures shipped from SO Lab
134:L/D;2/12/2017;admin;MJS_0049;100010;ZZZ100043;Matt Sikora;;5;5;pX47;;2/13/2017;09:12:32;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;2;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100057A;;;0;4;F;7;4;;0;100057;;;;;;;From viable cultures shipped from SO Lab
134:L/D;2/12/2017;admin;MJS_0049;100010;ZZZ100043;Matt Sikora;;5;5;pX47;;2/13/2017;09:12:32;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;3;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100058A;;;0;4;F;7;5;;0;100058;;;;;;;From viable cultures shipped from SO Lab
134:L/D;2/12/2017;admin;MJS_0049;100010;ZZZ100043;Matt Sikora;;5;5;pX47;;2/13/2017;09:12:32;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;4;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100059A;;;0;4;F;7;6;;0;100059;;;;;;;From viable cultures shipped from SO Lab
134:L/D;2/12/2017;admin;MJS_0049;100010;ZZZ100043;Matt Sikora;;5;5;pX47;;2/13/2017;09:12:32;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;5;Cells;pX47;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100060A;;;0;4;F;7;7;;0;100060;;;;;;;From viable cultures shipped from SO Lab
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;p+36;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100061A;;;0;4;F;7;8;;0;100061;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;2;Cells;p+36;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100062A;;;0;4;F;7;9;;0;100062;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;6/3/2019;12:30:15;;Thawed by EKB on 03/06/19;3;Cells;p+36;3/28/2017;;Used;;;;SQZ100063A;;EKB;0;;;;;;0;100063;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;4/9/2019;15:52:42;;Thawed by EKB on 03/08/19;4;Cells;p+36;3/28/2017;;Used;;;;SQZ100064A;;EKB;0;;;;;;0;100064;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;5;Cells;p+36;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100065A;;;0;4;F;8;3;;0;100065;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;3/29/2018;11:25:28;;;6;Cells;p+36;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100066A;;RF;0;4;F;8;4;;0;100066;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;3/18/2019;07:26:58;;Checkout by DMR on 6/5/18.;7;Cells;p+36;3/28/2017;;Used;;;;SQZ100067A;;RF;0;;;;;;0;100067;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;5/31/2018;11:14:17;;;8;Cells;p+36;3/28/2017;;Used;;;;SQZ100068A;;MJS;0;;;;;;0;100068;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;5/31/2018;11:15:43;;;9;Cells;p+36;3/28/2017;;Used;;;;SQZ100069A;;Matt;0;;;;;;0;100069;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;11/30/2017;00:00:00;;;10;Cells;p+36;3/28/2017;;Used;;;;SQZ100070A;;Matt;0;;;;;;0;100070;;;;;;;Continuous maintenance from p+33 (FWID 100000)
